date,datetime_utc,image_id,cloudy_pixel_percentage,valid_pixel_pct,is_valid_satellite_obs,NDVI_mean,NDVI_median,NDVI_stdDev,EVI_mean,EVI_median,EVI_stdDev,SAVI_mean,SAVI_median,SAVI_stdDev,NDRE_mean,NDRE_median,NDRE_stdDev,candidate_rank
2025-09-21,2025-09-21 15:31:56,20250921T152941_20250921T152936_T18NXL,45.051137,51.31148890626931,True,0.5068136517415097,0.5365521771897573,0.2267035391372009,0.3753693764448468,0.3275789508866873,0.2127630579025392,0.3135081479438417,0.3028959682799473,0.1555417865419636,0.3633052712058734,0.3850429563998062,0.1798434909798509,1
2025-09-21,2025-09-21 15:32:00,20250921T152941_20250921T152936_T18NWL,16.341256,29.60084523662509,False,0.4730771755647544,0.4867075959158269,0.2280446690799853,0.4050631484849364,0.38211599172581,0.2294703277873712,0.3344305153905263,0.3224930280028533,0.1733356825914036,0.3298117937525813,0.3272196681102332,0.1756023458712681,2
2025-11-08,2025-11-08 15:31:52,20251108T152701_20251108T152802_T18NXL,48.775911,19.78128130188394,False,0.5136560299362916,0.583832344791164,0.2364355183932731,0.3919477939855657,0.3555343346870945,0.250453616807258,0.3238252390237881,0.3098471986417657,0.1929171848976557,0.335596665466335,0.3806789460835151,0.1774558951760643,1
2025-11-08,2025-11-08 15:31:56,20251108T152701_20251108T152802_T18NWL,48.917904,10.3719864432827,False,0.5816799421676938,0.633992831620368,0.201771495879739,0.5243058176433422,0.5512090630429927,0.2212284950909614,0.4230737727822092,0.4396421603294474,0.1722239279574844,0.3912813569401017,0.4340974384401151,0.1589102906112418,2
2025-11-18,2025-11-18 15:31:54,20251118T152701_20251118T152839_T18NWL,56.108177,98.8325855184621,True,0.3344628041606456,0.3222137021866567,0.174096464451907,0.3571785547094519,0.3322043878923792,0.1928214831873236,0.2437025944992426,0.2280365439404056,0.1288278404292097,0.2311062304054665,0.2244881262526783,0.131485771125281,1
2025-11-18,2025-11-18 15:31:50,20251118T152701_20251118T152839_T18NXL,78.068376,88.88088475418157,True,0.3426472524823992,0.329906477943538,0.1901605841723727,0.3738726086764765,0.3471830515845933,0.2158239490148693,0.2514347559457335,0.2362401958342286,0.1417278350192325,0.2359596802633801,0.2286580939007853,0.1428250860368174,2
2025-11-23,2025-11-23 15:31:39,20251123T152649_20251123T152646_T18NWL,58.768195,0.0,False,,,,,,,,,,,,,1
2025-11-23,2025-11-23 15:31:35,20251123T152649_20251123T152646_T18NXL,64.10827,0.0,False,,,,,,,,,,,,,2
2025-11-30,2025-11-30 15:32:02,20251130T152711_20251130T152709_T18NWL,70.485145,44.88673005941354,True,0.4842534686373186,0.4786150700171219,0.20706865156865,0.4257052626537563,0.4159565203342399,0.1923315914012783,0.3426779097646272,0.3301089952856396,0.1618355393431036,0.3573242763444256,0.3497663572536379,0.1640153961481717,1
2025-11-30,2025-11-30 15:31:58,20251130T152711_20251130T152709_T18NXL,51.447558,44.6068140342211,True,0.4800820785798972,0.4707722958273124,0.2113633674709963,0.441646933607553,0.4336279695568534,0.2031994721052321,0.3431738390780317,0.3298816404264373,0.1663720160895817,0.3548846610229493,0.3458028753015066,0.1670253907503834,2
