date,year,month,day,year_month,iso_year,iso_week,week_id,doy,n_records,pct_day_records,is_valid_day,is_valid_day_by_coverage,is_valid_day_by_et,is_valid_day_by_temp,is_valid_day_by_rh,is_valid_day_by_rad,is_valid_day_analysis,et_base_out_mm_d,et_out_daily,et_out_daily_last,et_out_daily_max,et_out_last_minus_max,temp_out_mean,temp_out_min,temp_out_max,temp_range_out_c,rh_out_mean,rh_out_min,rh_out_max,rh_range_out_pct,rad_out_mean,rad_out_max,rad_acc_out_daily_max,par_out_mean,dli_out_max,vpd_out_mean,vpd_out_max,vpd_rad_product,dewpoint_out_mean,et_rad_ratio,flag_et_jump_high,flag_et_zero,flag_vpd_high_z,flag_temp_high_z
2025-08-04,2025,8,4,2025-08,2025,32,2025-W32,216,181,62.84722222222222,False,False,True,True,True,True,False,0.0,0.0,0.0,0.0,0.0,17.024309392265195,7.8,27.8,20.0,60.29834254143646,36,86,50,41.5414364640884,315.02,225.57,110.95243093922652,6.02,0.913756906077348,2.39,37.958774457434146,8.762044198895028,0.0,False,True,True,False
2025-08-05,2025,8,5,2025-08,2025,32,2025-W32,217,277,96.18055555555556,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,14.444404332129965,5.3,27.6,22.3,64.79783393501805,30,92,62,26.791949458483757,328.9,222.64,71.5581227436823,5.95,0.798014440433213,2.58,21.38036255522684,6.81826714801444,0.0,False,True,False,False
2025-08-06,2025,8,6,2025-08,2025,32,2025-W32,218,277,96.18055555555556,True,True,True,True,True,True,True,2.1,2.1,2.06,2.1,-0.04,14.813718411552346,8.4,22.2,13.799999999999999,70.08664259927798,43,91,48,134.92880866425992,1068.91,1121.26,323.95927797833934,26.92,0.5769675090252707,1.53,77.84953863076541,9.022202166064982,0.015563763000571502,False,False,False,False
2025-08-07,2025,8,7,2025-08,2025,32,2025-W32,219,237,82.29166666666666,True,True,True,True,True,True,True,1.2,1.2,1.14,1.2,-0.06,13.40928270042194,11.4,16.5,5.1,83.12658227848101,69,93,24,59.8901687763713,330.72,425.82,159.95962025316456,11.37,0.2687763713080169,0.58,16.09706224073777,10.547088607594937,0.02003667754687378,False,False,False,False
2025-08-08,2025,8,8,2025-08,2025,32,2025-W32,220,270,93.75,True,True,True,True,True,True,True,1.53,1.53,1.51,1.53,-0.02,13.687407407407408,11.3,19.2,7.899999999999999,83.99259259259259,65,94,29,93.57062962962962,923.36,757.92,244.4849259259259,19.8,0.2701111111111111,0.78,25.27446673662551,10.930296296296296,0.016351284650493767,False,False,False,False
2025-08-09,2025,8,9,2025-08,2025,32,2025-W32,221,280,97.2222222222222,True,True,True,True,True,True,True,1.67,1.67,1.65,1.67,-0.02,13.94,11.3,20.2,8.899999999999999,79.3,51,93,42,99.34532142857142,780.76,834.5,265.0353928571429,22.26,0.3659285714285714,1.11,36.35329154846938,10.19675,0.016810051807026646,False,False,False,False
2025-08-10,2025,8,10,2025-08,2025,32,2025-W32,222,424,147.22222222222223,True,True,True,True,True,True,True,2.4,2.4,2.37,2.4,-0.0299999999999998,14.818396226415096,10.3,21.6,11.3,70.90094339622641,45,92,47,138.64075471698112,1196.03,1297.96,353.9808254716981,32.48,0.545,1.42,75.55921132075471,9.281014150943395,0.017310927114464424,False,False,False,False
2025-08-11,2025,8,11,2025-08,2025,33,2025-W33,223,397,137.84722222222223,True,True,True,True,True,True,True,2.1,2.1,1.7,2.1,-0.4000000000000001,15.19874055415617,8.9,23.1,14.200000000000001,72.01259445843829,44,95,51,137.8449370277078,1086.28,1106.23,348.25488664987404,28.86,0.548463476070529,1.58,75.6029133209398,9.851259445843828,0.015234509480590392,False,False,False,False
2025-08-12,2025,8,12,2025-08,2025,33,2025-W33,224,421,146.18055555555557,True,True,True,True,True,True,True,2.29,2.29,2.24,2.29,-0.0499999999999998,15.244655581947743,8.9,22.7,13.799999999999999,69.67220902612827,45,93,48,163.96731591448932,1088.8,1125.7,430.22548693586697,30.03,0.5824703087885986,1.49,95.5060931319503,9.442755344418051,0.013966198002498615,False,False,False,False
2025-08-13,2025,8,13,2025-08,2025,33,2025-W33,225,279,96.875,True,True,True,True,True,True,True,1.63,1.63,1.56,1.63,-0.0699999999999998,13.49032258064516,9.5,18.6,9.100000000000001,70.26523297491039,52,83,31,86.13397849462366,785.42,720.94,229.7035483870968,19.23,0.4825448028673835,1.03,41.563503672871626,8.061648745519713,0.018924006861029203,False,False,False,False
2025-08-14,2025,8,14,2025-08,2025,33,2025-W33,226,276,95.83333333333334,True,True,True,True,True,True,True,2.26,2.26,2.2,2.26,-0.0599999999999996,15.592028985507245,11.7,22.4,10.7,64.01811594202898,45,81,36,132.16105072463768,1056.9,1094.29,349.9595652173913,28.98,0.6708695652173913,1.49,88.66282663831127,8.65336956521739,0.017100348306921313,False,False,False,False
2025-08-15,2025,8,15,2025-08,2025,33,2025-W33,227,275,95.48611111111111,True,True,True,True,True,True,True,2.59,2.59,2.51,2.59,-0.08,15.078181818181818,11.4,20.8,9.4,69.70545454545454,50,86,36,170.5926909090909,1023.28,1407.39,439.1843636363636,36.23,0.5524727272727273,1.18,94.24780919933885,9.411490909090908,0.01518236207071858,False,False,False,False
2025-08-16,2025,8,16,2025-08,2025,33,2025-W33,228,280,97.2222222222222,True,True,True,True,True,True,True,1.78,1.78,1.68,1.78,-0.1,14.114642857142856,10.9,19.7,8.799999999999999,71.51071428571429,52,86,34,87.96242857142857,838.09,738.88,234.08617857142855,19.66,0.4788571428571429,1.08,42.1214372244898,8.938678571428571,0.020235912410655848,False,False,False,False
2025-08-17,2025,8,17,2025-08,2025,33,2025-W33,229,279,96.875,True,True,True,True,True,True,True,1.77,1.77,1.74,1.77,-0.03,15.012544802867383,10.1,20.5,10.4,71.91039426523298,54,92,38,101.97820788530466,1023.17,853.56,269.14247311827955,22.53,0.5096415770609319,1.05,51.97233469251423,9.82763440860215,0.01735664939308138,False,False,False,False
2025-08-18,2025,8,18,2025-08,2025,34,2025-W34,230,244,84.72222222222221,True,True,True,True,True,True,True,2.3,2.3,2.25,2.3,-0.0499999999999998,15.559016393442624,11.1,21.1,10.000000000000002,67.6188524590164,48,90,42,165.737131147541,1046.12,1213.2,418.5645081967213,30.64,0.6268032786885246,1.27,103.88457720370869,9.28983606557377,0.013877397201671814,False,False,False,False
2025-08-19,2025,8,19,2025-08,2025,34,2025-W34,231,276,95.83333333333334,True,True,True,True,True,True,True,2.01,2.01,1.95,2.01,-0.0599999999999998,15.260144927536231,10.9,22.1,11.200000000000001,69.64492753623189,48,87,39,119.6173188405797,1147.9,990.43,305.2146739130435,25.27,0.5786594202898551,1.36,69.21768837691661,9.478478260869563,0.016803586800660804,False,False,False,False
2025-08-20,2025,8,20,2025-08,2025,34,2025-W34,232,265,92.01388888888889,True,True,True,True,True,True,True,2.42,2.42,2.41,2.42,-0.0099999999999997,15.269056603773585,8.2,23.3,15.100000000000001,68.64528301886793,46,94,48,171.21939622641509,1018.26,1361.19,427.7580377358491,34.01,0.6358867924528302,1.49,108.8761526721253,9.103509433962264,0.014133912706945122,False,False,False,False
