date,year,month,day,year_month,iso_year,iso_week,week_id,doy,n_records,pct_day_records,is_valid_day,is_valid_day_by_coverage,is_valid_day_by_et,is_valid_day_by_temp,is_valid_day_by_rh,is_valid_day_by_rad,is_valid_day_analysis,et_base_out_mm_d,et_out_daily,et_out_daily_last,et_out_daily_max,et_out_last_minus_max,temp_out_mean,temp_out_min,temp_out_max,temp_range_out_c,rh_out_mean,rh_out_min,rh_out_max,rh_range_out_pct,rad_out_mean,rad_out_max,rad_acc_out_daily_max,par_out_mean,dli_out_max,vpd_out_mean,vpd_out_max,vpd_rad_product,dewpoint_out_mean,et_rad_ratio,flag_et_jump_high,flag_et_zero,flag_vpd_high_z,flag_temp_high_z,datetime_utc,image_id,sensor_label,spacecraft_id,wrs_path,wrs_row,valid_pixel_pct,is_valid_satellite_obs,n_obs_same_date,selected_from_duplicates,selection_rule,LST_C_mean,LST_C_median,LST_C_stdDev,LST_C_mean_minus_median,LST_C_cv_pct,LST_K_mean,LST_K_median,LST_K_stdDev,has_satellite_obs,is_merge_ready,et_base_out_mm_d_w1_mean,et_base_out_mm_d_w1_sum,et_base_out_mm_d_w3_mean,et_base_out_mm_d_w5_mean,et_base_out_mm_d_w7_mean,et_base_out_mm_d_w3_sum,et_base_out_mm_d_w5_sum,et_base_out_mm_d_w7_sum,temp_out_mean_w1_mean,temp_out_mean_w1_sum,temp_out_mean_w3_mean,temp_out_mean_w5_mean,temp_out_mean_w7_mean,rh_out_mean_w1_mean,rh_out_mean_w1_sum,rh_out_mean_w3_mean,rh_out_mean_w5_mean,rh_out_mean_w7_mean,rad_out_mean_w1_mean,rad_out_mean_w1_sum,rad_out_mean_w3_mean,rad_out_mean_w5_mean,rad_out_mean_w7_mean,vpd_out_mean_w1_mean,vpd_out_mean_w1_sum,vpd_out_mean_w3_mean,vpd_out_mean_w5_mean,vpd_out_mean_w7_mean
2025-10-12,2025,10,12,2025-10,2025,41,2025-W41,285,282,97.91666666666666,True,True,True,True,True,True,True,1.81,1.81,1.79,1.81,-0.02,14.452127659574469,11.7,20.2,8.5,80.18794326241135,54,93,39,110.45003546099292,1013.59,934.41,290.81698581560283,24.6,0.3532978723404255,1.09,39.021762528293344,10.929964539007091,0.0163875003973106,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,1.81,1.81,1.7599999999999998,1.768,1.7842857142857143,5.279999999999999,8.84,12.49,14.452127659574469,,14.677117670562382,14.640809609429628,14.546807598108247,80.18794326241135,,78.10372756634371,75.61188192987713,75.42527024784017,110.45003546099292,,98.16739444943896,98.68837283987614,101.28591439566854,0.3532978723404255,,0.3950899011087803,0.443912096693637,0.4504413949167194
2025-10-13,2025,10,13,2025-10,2025,42,2025-W42,286,282,97.91666666666666,True,True,True,True,True,True,True,2.16,2.16,2.03,2.16,-0.1300000000000003,14.187588652482267,11.0,20.6,9.6,76.95035460992908,52,94,42,129.58787234042552,974.36,1096.31,339.92602836879433,28.76,0.4173404255319148,1.09,54.08225778632864,9.930035460992908,0.0166682264396294,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,2.16,2.16,1.8733333333333333,1.8699999999999999,1.8442857142857143,5.62,9.35,12.91,14.187588652482267,,14.300797456131589,14.65868194985516,14.54558592690897,76.95035460992908,,79.80314154430128,76.33528618519628,75.78459408935885,129.58787234042552,,110.7279528352146,106.30042957746477,105.37109415357392,0.4173404255319148,,0.36049445609829184,0.4320610328638497,0.44182085420323364
2025-10-14,2025,10,14,2025-10,2025,42,2025-W42,287,283,98.26388888888889,True,True,True,True,True,True,True,1.52,1.52,1.45,1.52,-0.07,13.585159010600709,9.8,19.1,9.3,73.28621908127208,52,92,40,75.01985865724382,936.94,636.92,198.59402826855123,16.86,0.453851590106007,1.05,34.047882141118,8.650424028268551,0.0202613018366868,False,False,False,False,2025-10-14 15:13:01,1_LC08_008057_20251014,Landsat-8,LANDSAT_8,8.0,57.0,0.0,False,1.0,False,"1=observación válida, 2=mayor valid_pixel_pct, 3=menor LST_C_stdDev, 4=menor datetime_utc",,,,,,,,,False,False,1.52,1.52,1.83,1.7920000000000003,1.7885714285714285,5.49,8.96,12.52,13.585159010600709,,14.074958440885815,14.360820134954025,14.425256530033016,73.28621908127208,,76.80817231787086,76.90955127804645,75.47085476294099,75.01985865724382,,105.01925548622076,99.82198286919724,99.72137074243572,0.453851590106007,,0.4081632959927824,0.4112923437928525,0.4415360713008724
2025-10-15,2025,10,15,2025-10,2025,42,2025-W42,288,282,97.91666666666666,True,True,True,True,True,True,True,2.31,2.31,2.27,2.31,-0.04,14.4209219858156,7.3,22.3,15.0,74.90425531914893,46,95,49,154.71854609929076,1165.75,1308.92,388.4914184397163,32.87,0.4832624113475177,1.44,74.76965766812533,9.7040780141844,0.0149303367840436,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,2.31,2.31,1.9966666666666668,1.89,1.882857142857143,5.99,9.45,13.180000000000001,14.4209219858156,,14.06455654963286,14.181694672962214,14.471355820813159,74.90425531914893,,75.04694300345004,77.51997980666496,75.69527218948608,154.71854609929076,,119.7754256989867,112.38445265243567,108.74865037769408,0.4832624113475177,,0.4514848089951465,0.40371947394968,0.4424884522532534
2025-10-16,2025,10,16,2025-10,2025,42,2025-W42,289,284,98.61111111111111,True,True,True,True,True,True,True,2.11,2.11,2.04,2.11,-0.0699999999999998,14.821830985915492,10.4,20.8,10.4,76.6443661971831,53,93,40,130.30570422535212,922.8,1110.2,343.4939084507042,29.27,0.4355281690140845,1.08,56.75180477335846,10.556549295774648,0.0161926909688538,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,2.11,2.11,1.9799999999999998,1.982,1.9114285714285715,5.9399999999999995,9.91,13.38,14.821830985915492,,14.275970660777267,14.293525658877707,14.43526480664303,76.6443661971831,,74.94494686586806,76.39462769398891,76.58519684379489,130.30570422535212,,120.01470299396222,120.01640335666102,112.01916638151843,0.4355281690140845,,0.45754739015586976,0.42865609366798985,0.42503604276083784
2025-10-17,2025,10,17,2025-10,2025,42,2025-W42,290,284,98.61111111111111,True,True,True,True,True,True,True,1.58,1.58,1.54,1.58,-0.04,14.60387323943662,10.5,20.2,9.7,77.56338028169014,52,91,39,83.26809859154929,1099.12,709.44,217.5126056338028,18.53,0.3990140845070422,1.11,33.22514412814917,10.578345070422536,0.0189748538362848,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,1.58,1.58,2.0,1.936,1.8771428571428572,6.0,9.68,13.14,14.60387323943662,,14.615542070389239,14.323874774850136,14.333453941451882,77.56338028169014,,76.3706672660074,75.86971509784468,77.40109221602829,83.26809859154929,,122.7641163053974,114.58001598277231,110.78515229701138,0.3990140845070422,,0.4392682216228814,0.4377993361013132,0.40759137475278956
2025-10-18,2025,10,18,2025-10,2025,42,2025-W42,291,284,98.61111111111111,True,True,True,True,True,True,True,1.83,1.83,1.78,1.83,-0.05,14.415492957746478,9.9,20.3,10.4,75.08098591549296,55,93,38,110.4644014084507,859.03,941.16,294.0012676056338,25.05,0.455669014084507,1.05,50.33520488122396,9.829014084507042,0.0165664229984231,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,1.83,1.83,1.8399999999999999,1.8699999999999999,1.9028571428571428,5.52,9.35,13.32,14.415492957746478,,14.613732394366195,14.36945563590298,14.355284927367377,75.08098591549296,,76.42957746478875,75.49584135895745,76.3739292381611,110.4644014084507,,108.01273474178403,110.75532179637734,113.40207382618644,0.455669014084507,,0.4300704225352112,0.4454650538118316,0.42828050956164265
2025-10-19,2025,10,19,2025-10,2025,42,2025-W42,292,283,98.26388888888889,True,True,True,True,True,True,True,1.92,1.92,1.88,1.92,-0.04,14.335335689045936,8.5,19.7,11.2,69.92579505300354,51,93,42,117.85459363957597,739.16,1000.59,314.7759010600707,26.72,0.5501766784452297,1.1,64.8408488681342,8.614664310954064,0.0162912614664114,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,1.92,1.92,1.7766666666666666,1.95,1.9185714285714286,5.33,9.75,13.43,14.335335689045936,,14.45156729540968,14.519490971592026,14.338600360149014,69.92579505300354,,74.19005375006223,74.82375655330375,74.90790806538855,117.85459363957597,,103.86236454652533,119.32226879284376,114.45986785169829,0.5501766784452297,,0.468286592345593,0.46473007147967615,0.4564060532909004
2025-10-20,2025,10,20,2025-10,2025,43,2025-W43,293,283,98.26388888888889,True,True,True,True,True,True,True,1.66,1.66,1.62,1.66,-0.0399999999999998,14.881272084805651,10.8,20.8,10.0,71.24734982332156,51,87,36,89.20303886925795,945.34,757.33,236.3964664310954,20.07,0.5255477031802119,1.15,46.88045219443369,9.546254416961132,0.0186092314907904,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,1.66,1.66,1.8033333333333335,1.8199999999999998,1.8471428571428572,5.41,9.1,12.93,14.881272084805651,,14.544033577199356,14.611560991390036,14.437697993338071,71.24734982332156,,72.08471026393936,74.09237545413826,74.09319309587319,89.20303886925795,,105.8406779724282,106.21916734683721,108.69060592724578,0.5255477031802119,,0.5104644652366496,0.473187129846215,0.47186423581208564
2025-10-21,2025,10,21,2025-10,2025,43,2025-W43,294,283,98.26388888888889,True,True,True,True,True,True,True,1.63,1.63,1.57,1.63,-0.0599999999999998,14.619787985865724,8.9,20.2,11.3,76.53710247349824,54,92,38,88.45522968197879,558.9,750.98,236.25381625441696,20.06,0.4388339222614841,1.07,38.8171553858832,10.311448763250883,0.0184274011368271,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,1.63,1.63,1.7366666666666666,1.7239999999999998,1.8628571428571428,5.21,8.62,13.04,14.619787985865724,,14.612131919905769,14.571152391380082,14.585502132661642,76.53710247349824,,72.57008244994113,74.07092270940129,74.55760500904834,88.45522968197879,,98.50428739693757,97.84907243816255,110.60994464506508,0.4388339222614841,,0.5048527679623086,0.47384828049569494,0.4697188546914396
