date,datetime_utc,image_id,cloudy_pixel_percentage,valid_pixel_pct,is_valid_satellite_obs,NDVI_mean,NDVI_median,NDVI_stdDev,EVI_mean,EVI_median,EVI_stdDev,SAVI_mean,SAVI_median,SAVI_stdDev,NDRE_mean,NDRE_median,NDRE_stdDev
2025-09-21,2025-09-21 15:31:56,20250921T152941_20250921T152936_T18NXL,45.051137,51.31148890626931,True,0.5068136517415097,0.5365521771897573,0.2267035391372009,0.37536937644484686,0.3275789508866873,0.21276305790253927,0.3135081479438417,0.3028959682799473,0.15554178654196366,0.3633052712058734,0.38504295639980624,0.17984349097985095
2025-09-24,2025-09-24 15:31:44,20250924T152649_20250924T152847_T18NWL,46.866819,0.0,False,,,,,,,,,,,,
2025-09-29,2025-09-29 15:32:00,20250929T152711_20250929T153102_T18NWL,70.782042,0.0,False,,,,,,,,,,,,
2025-10-01,2025-10-01 15:32:00,20251001T152711_20251001T152708_T18NWL,58.324122,0.0,False,,,,,,,,,,,,
2025-10-09,2025-10-09 15:31:58,20251009T152711_20251009T152706_T18NWL,44.917566,0.0,False,,,,,,,,,,,,
2025-10-11,2025-10-11 15:31:59,20251011T152941_20251011T152935_T18NWL,61.593348,0.0,False,,,,,,,,,,,,
2025-10-21,2025-10-21 15:32:00,20251021T152711_20251021T153101_T18NWL,76.841724,0.0,False,,,,,,,,,,,,
2025-10-24,2025-10-24 15:31:44,20251024T152649_20251024T152652_T18NWL,31.440973,0.0,False,,,,,,,,,,,,
2025-11-08,2025-11-08 15:31:56,20251108T152701_20251108T152802_T18NWL,48.917904,10.3719864432827,False,0.5816799421676938,0.633992831620368,0.20177149587973903,0.5243058176433422,0.5512090630429927,0.22122849509096149,0.4230737727822092,0.4396421603294474,0.17222392795748445,0.3912813569401017,0.4340974384401151,0.1589102906112418
2025-11-08,2025-11-08 15:31:52,20251108T152701_20251108T152802_T18NXL,48.775911,19.78128130188394,False,0.5136560299362916,0.583832344791164,0.23643551839327318,0.39194779398556573,0.35553433468709456,0.250453616807258,0.3238252390237881,0.3098471986417657,0.19291718489765575,0.33559666546633504,0.3806789460835151,0.1774558951760643
2025-11-13,2025-11-13 15:31:41,20251113T152649_20251113T152648_T18NWL,70.699883,0.0,False,,,,,,,,,,,,
2025-11-18,2025-11-18 15:31:54,20251118T152701_20251118T152839_T18NWL,56.108177,98.8325855184621,True,0.3344628041606456,0.32221370218665674,0.17409646445190705,0.3571785547094519,0.33220438789237927,0.1928214831873236,0.24370259449924261,0.22803654394040568,0.1288278404292097,0.23110623040546652,0.22448812625267833,0.13148577112528106
2025-11-18,2025-11-18 15:31:50,20251118T152701_20251118T152839_T18NXL,78.068376,88.88088475418157,True,0.34264725248239924,0.329906477943538,0.19016058417237275,0.3738726086764765,0.3471830515845933,0.2158239490148693,0.2514347559457335,0.23624019583422862,0.14172783501923258,0.23595968026338016,0.22865809390078534,0.14282508603681748
2025-11-20,2025-11-20 15:32:01,20251120T152941_20251120T152937_T18NWL,55.693591,0.0,False,,,,,,,,,,,,
2025-11-23,2025-11-23 15:31:39,20251123T152649_20251123T152646_T18NWL,58.768195,0.0,False,,,,,,,,,,,,
2025-11-23,2025-11-23 15:31:35,20251123T152649_20251123T152646_T18NXL,64.10827,0.0,False,,,,,,,,,,,,
2025-11-28,2025-11-28 15:31:53,20251128T152701_20251128T152701_T18NWL,72.538072,0.0,False,,,,,,,,,,,,
2025-11-30,2025-11-30 15:32:02,20251130T152711_20251130T152709_T18NWL,70.485145,44.886730059413544,True,0.4842534686373186,0.4786150700171219,0.20706865156865006,0.4257052626537563,0.41595652033423997,0.19233159140127834,0.3426779097646272,0.33010899528563964,0.16183553934310366,0.35732427634442565,0.3497663572536379,0.16401539614817173
